gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABI3BP,1.3243151446607047,0.24982370824196545,0.7219911136072669,0.8421865397683892,0.399683546886653,
ABL1,3114.2302679463546,0.2953191715521793,0.05224260199675605,5.681532887033852,1.3349283850158678e-08,4.615129258101122e-08
ABL2,6298.26364061234,-0.5314858761013266,0.04956052357236391,-10.793730511799911,3.6852007406635314e-27,3.045552450111185e-26
ABLIM1,39012.877405837964,-0.9026492299182902,0.04084792015746845,-22.15665032545692,9.000161635638784e-109,3.394681818826126e-107
ABLIM2,756.8458131105862,-1.0812623558832182,0.08395207531739955,-12.963604836100693,1.9677815649238214e-38,2.2245155659724763e-37
ABLIM3,99.66386126492078,7.363828548905416,0.6486198242251017,11.220419278370885,3.2373192906022505e-29,2.8453015543078973e-28
ABO,4.538637041313966,-0.14053967683421414,0.6179548897102058,-0.3970831840309367,0.6913061199400207,0.7597712770473668
ABP1,85.98379290739177,0.14353435725600647,0.20500437429337837,0.7279786302385768,0.46662666782278317,0.5557110869373458
ABR,14438.296159910882,0.47821420348463894,0.022326272077748358,21.47252689326263,2.812998532844784e-102,9.862224151385557e-101
ABRA,2.1378532744850465,-0.5708756780519249,1.0030831876433315,-1.3996977709756524,0.16160384158762786,0.22623116504399934
ABRACL,569.1720977042901,0.1249814426300403,0.0920982156758156,1.3594198339336436,0.17401358964130964,0.24125244858721653
ABT1,529.4464424297717,0.41069329662393045,0.08832868751054652,4.684968394780065,2.8000313591147986e-06,8.028841495771978e-06
ABTB1,335.1574019696879,-0.4101477530054586,0.13845947928340066,-3.020637492905666,0.0025224315563322787,0.005107434560760829
ABTB2,820.325960584045,0.8987106653590414,0.0761564770952245,11.866857083534903,1.7595435329910035e-32,1.7077228301596221e-31
ACAA1,1964.1188496780617,0.2684609114292377,0.05982757280688174,4.502899384250599,6.703262390322855e-06,1.8601085681096387e-05
ACAA2,1300.6765727886102,0.02693388256092472,0.07183343630899083,0.3749998584075701,0.7076605719582878,0.7737174525579068
ACACA,8555.407046574117,-0.17278853446625003,0.044428076208347884,-3.8925281470436026,9.920498551396257e-05,0.00024237079883741248
ACACB,248.5807957159608,-0.13934261086397412,0.1456570767754874,-0.9751787857043818,0.32947158328544335,0.416603049821608
ACAD10,433.8331512055773,-0.31050741320060465,0.10401470739556228,-3.017287521415364,0.002550477730969347,0.00516356576492484
ACAD11,252.23078563828065,-0.4212356611618673,0.11658793224601975,-3.6654363176451925,0.00024691725041436186,0.0005745040015853527
ACAD8,739.6741266594712,-0.0672385005577692,0.07777239517648335,-0.8746939249576104,0.3817404664955414,0.47087438044091234
ACAD9,1839.4055124373683,0.1280346638327705,0.05620784205422326,2.263255652168078,0.023619934367343772,0.04045609548316053
ACADL,2.670128001469187,0.8698647309920199,1.0568785437478092,1.7974653512891499,0.0722617739993812,0.11104370117282783
ACADM,2223.232989093352,-0.0987307950979635,0.05840087758642858,-1.7061943783161908,0.08797189507998208,0.13236115455034264
ACADS,137.22278910101284,-0.4050213008975024,0.1575534692808106,-2.6353939048122115,0.00840396934908886,0.015670803670272654
ACADSB,690.2009542488312,0.29299959520661883,0.07497360944196957,3.9284727515666096,8.548703461056716e-05,0.00021050388766961594
ACADVL,37439.57555372587,-0.02503581492031271,0.0390875726185026,-0.6778779351743511,0.4978490911654837,0.5855944416258502
ACAP1,46.20796400772144,-1.6302055885518185,0.3783223576926801,-4.660242365926295,3.158372631479511e-06,9.025460893224304e-06
ACAP2,1467.3948772825938,-0.18517112296230626,0.05937488850143833,-3.12256334131609,0.0017928352239493437,0.0037132801899286538
ACAP3,647.5657779918406,0.75535807323999,0.09878436932151105,7.722334809577367,1.1421789551325629e-14,5.6777209334306696e-14
ACAT1,2223.812747307736,-0.29219587510154543,0.049011640480686604,-5.976793482385554,2.2757239124047256e-09,8.292742104795334e-09
ACAT2,1920.536836700011,-0.0854893810946898,0.05790276681501112,-1.4870706608804198,0.1369961494257673,0.19598846938791462
ACBD3,789.3184695581631,-0.0475771179294917,0.07841827224219662,-0.6179034596614791,0.5366389783113501,0.6214392592056572
ACBD4,510.25917389079655,-0.4508841250818625,0.11383163081633384,-4.018751078012419,5.8507441243884876e-05,0.00014672490031178754
ACBD5,3350.6866792708097,0.028639625539756342,0.07119224783823484,0.38311789023070825,0.7016323553165762,0.7685556534012762
ACBD6,613.6276020073672,0.2478906911797082,0.07928844255465424,3.143477874905677,0.0016695303632414133,0.003476895825162054
