gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RCE1,806.7391772284312,0.2637996804860795,0.07852625153856595,3.375176367542531,0.0007376839896368657,0.0015556062616653406
RCHY1,2293.9747240998495,0.5891657400484712,0.05371364432159188,11.000689524073085,3.792210145693984e-28,3.1307369755711173e-27
RCL1,476.5939015204372,0.4977013060457374,0.09338945194035073,5.373318727419727,7.730051324056655e-08,2.397490781859115e-07
RCN1,10841.906357724227,-0.03748403751867685,0.039158941205374706,-0.9444634095061566,0.34493289157979334,0.4241760198115832
RCN2,3500.793404465341,0.046668035165032117,0.05012189633453051,0.9327349536839288,0.3509568329864682,0.4303019496722858
RCN3,101.10010238944398,-0.07472905909884335,0.18037151262186754,-0.4278095916937134,0.6687897531089113,0.7321269945140675
RCOR1,1622.4048942229947,-0.09473139704071983,0.0560284708086307,-1.7105298246242546,0.08716794317036361,0.1272191593107168
RCOR2,28.280308541890836,-0.3146615176642271,0.3318328087884406,-1.0579698728713214,0.29006917769603646,0.3654449185838066
RCOR3,1085.5238165236099,-0.1855220282025501,0.07036620374559763,-2.65283550214627,0.007981875960937294,0.014425743121407847
RDH10,171.13027596096316,0.44641841777859603,0.14125743129698493,3.220611535377251,0.0012791740682939511,0.00260532484261482
RDH11,3294.3599240753892,0.16847336702740826,0.052344781829114714,3.216311701082786,0.0012984971442576102,0.0026423138641202227
RDH12,3.3838915024334075,-0.966907025588673,1.48802005288927,-1.5111436681427421,0.13075185096619313,0.1828481120918025
RDH13,1897.9185745097966,1.1238532260865832,0.063175434729775,17.848781775780626,2.954102471740279e-71,6.106551823725976e-70
RDH14,401.52449940603873,0.584650245163695,0.09351174441109057,6.303582053606504,2.908441225788251e-10,1.0669200043989766e-09
RDH5,126.76700123519244,-1.704086483173939,0.2057434087672685,-8.477324618260289,2.3043134562849703e-17,1.2547984017683158e-16
RDM1,963.7392533456625,-0.18850615275813298,0.0880487275226725,-2.161997740459004,0.030618350357838484,0.04949246294767088
RDX,9440.06095832482,0.24551698686860446,0.03939996070408062,6.228502278289708,4.709152428144468e-10,1.6989025203711583e-09
REC8,39.58306925628894,-0.5540790601391068,0.2856445869945013,-2.1021955123354275,0.03553615276903511,0.056642193433279774
RECK,147.94172831283615,-0.12037594832289654,0.1536021089766168,-0.8012926625203001,0.4229622376705462,0.5048207811189325
RECQL,5400.9504816576045,-0.5979719827648788,0.041297141524620225,-14.563367736493726,4.803204329882755e-48,6.677083259278936e-47
RECQL4,1452.3644122830642,-0.3887991145182678,0.07985892421523956,-4.8994828356319164,9.608924393331431e-07,2.7243438319760913e-06
RECQL5,967.8249352672841,0.21608981139603958,0.07040651174164105,3.080575692548154,0.0020660083427170364,0.004079981983998396
REEP1,254.21551954989704,-2.1660550616209595,0.18626815386051818,-11.808371876963774,3.533370591769795e-32,3.327849686934901e-31
REEP2,1341.0280567426548,-2.9825484368122757,0.09386020672112531,-31.85053384582512,1.2940912157466642e-222,1.0350778834693294e-220
REEP3,1393.166951805359,-0.15002811752798947,0.06456705559705324,-2.3337219119072046,0.01961028796491134,0.033019882951178865
REEP4,733.9261258000262,0.00661376425189621,0.07951002264522311,0.08080384141231267,0.9355979530569626,0.9515432851107242
REEP5,2504.7039584080717,0.3310797306928746,0.04578715842770792,7.24386087932265,4.360887524245829e-13,1.8810906971116764e-12
REEP6,174.93624374116052,-0.691421582124188,0.16188617677947179,-4.383525384321568,1.1677403505291002e-05,3.0032191241511857e-05
